city,country,distance,id,lat,localized_country_name,lon,member_count,ranking,zip
Arvika,se,789.9256592005736,1037784,59.66999816894531,Sweden,12.59000015258789,14,35,meetup84
Falun,se,896.0788209037737,1037728,60.61000061035156,Sweden,15.619999885559082,13,36,meetup28
Visby,se,955.5704141407524,1037750,57.63999938964844,Sweden,18.299999237060547,13,37,meetup50
Piteå,se,1152.2926721749616,1037752,65.31999969482422,Sweden,21.510000228881836,13,38,meetup52
Ystad,se,800.8758394397812,1037771,55.439998626708984,Sweden,13.84000015258789,13,39,meetup71
Täby,se,953.5157309147077,1037716,59.5,Sweden,18.06999969482422,11,40,meetup16
Lidköping,se,786.6765224632505,1037745,58.5099983215332,Sweden,13.15999984741211,11,41,meetup45
Enköping,se,924.5142582372604,1037757,59.650001525878906,Sweden,17.09000015258789,10,42,meetup57
Hässleholm,se,794.4178237085835,1037768,56.15999984741211,Sweden,13.760000228881836,10,43,meetup68
Lidingö,se,955.0182485180759,1037730,59.369998931884766,Sweden,18.149999618530273,9,44,meetup30
Varberg,se,741.6537066865487,1037743,57.11000061035156,Sweden,12.25,9,45,meetup43
Skellefteå,se,1125.988940904399,1037735,64.76000213623047,Sweden,20.989999771118164,8,46,meetup35
Landskrona,se,760.230147109451,1037740,55.880001068115234,Sweden,12.829999923706055,8,47,meetup40
Katrineholm,se,889.735162094786,1037755,58.9900016784668,Sweden,16.200000762939453,8,48,meetup55
Hudiksvall,se,960.0467361131037,1037777,61.7400016784668,Sweden,17.110000610351562,8,49,meetup77
Nynäshamn,se,945.6585084908583,1037786,58.90999984741211,Sweden,17.950000762939453,8,50,meetup86
Karlshamn,se,835.8459254105603,1037761,56.16999816894531,Sweden,14.869999885559082,7,51,meetup61
Mariestad,se,810.5074107308795,1037772,58.709999084472656,Sweden,13.819999694824219,7,52,meetup72
Eslöv,se,778.1061005617449,1037775,55.84000015258789,Sweden,13.300000190734863,7,53,meetup75
Norrtälje,se,975.4025687667227,1037767,59.77000045776367,Sweden,18.700000762939453,6,54,meetup67
Lerum,se,748.578071670324,1037774,57.77000045776367,Sweden,12.279999732971191,6,55,meetup74
Bollnäs,se,932.5240862163813,1037791,61.349998474121094,Sweden,16.389999389648438,6,56,meetup91
Tumba,se,942.9597813869908,1037729,59.20000076293945,Sweden,17.809999465942383,5,57,meetup29
Karlskoga,se,840.6655257468157,1037737,59.33000183105469,Sweden,14.5,5,58,meetup37
Oskarshamn,se,890.7201928579175,1037770,57.2599983215332,Sweden,16.450000762939453,5,59,meetup70
Falköping,se,795.6002971418296,1037773,58.16999816894531,Sweden,13.5600004196167,5,60,meetup73
Ljungby,se,800.6997774812969,1037780,56.84000015258789,Sweden,13.9399995803833,5,61,meetup80
Mjölby,se,849.0830435640839,1037798,58.33000183105469,Sweden,15.130000114440918,5,62,meetup98
Nyköping,se,914.4193956340218,1037738,58.7599983215332,Sweden,17.020000457763672,4,63,meetup38
Trelleborg,se,774.6596628574924,1037744,55.380001068115234,Sweden,13.149999618530273,4,64,meetup44
Sandviken,se,928.7911994013928,1037746,60.619998931884766,Sweden,16.770000457763672,4,65,meetup46
Kungälv,se,740.0475218422876,1037754,57.869998931884766,Sweden,11.989999771118164,4,66,meetup54
Västervik,se,897.230633593579,1037756,57.7599983215332,Sweden,16.6299991607666,4,67,meetup56
Boden,se,1170.9886751301794,1037760,65.83000183105469,Sweden,21.700000762939453,4,68,meetup60
Värnamo,se,805.4554411605112,1037764,57.18000030517578,Sweden,14.050000190734863,4,69,meetup64
Ludvika,se,874.5823925164901,1037783,60.13999938964844,Sweden,15.180000305175781,4,70,meetup83
